GeneSymbol,GSM1498849,GSM1498850,GSM1498851,GSM1498852,GSM1498853,GSM1498854,GSM1498855,GSM1498856
SH3BP5L,5.563237,5.77017,5.9667172,5.3651752,5.7640715,5.5453005,4.9599113,4.8066587
SH3D19,6.373929825,6.13033135,5.861614625,6.33274985,6.275284925,6.23721345,6.120157875,6.075425375
SH3D21,6.0497146,5.507356,5.472735,5.9166546,5.605042,5.60658,5.1021457,5.2513475
SH3GLB1,10.72156,12.881712,12.894341,10.736088,12.725042,12.728362,13.078121,13.116507
SH3GLB2,8.1881075,7.8452253,7.8283963,8.169727,7.103635,7.1593037,7.631482,7.6935863
SH3KBP1,5.848551333,6.180262433,6.209591067,5.915632267,6.835580533,6.883235,5.737808867,5.801033133
SH3PXD2A,8.716356,8.518241,8.5174265,8.733766,8.906973,8.906257,7.7849216,7.819548
SH3PXD2B,3.1358662,2.4042,2.9743018,3.8215103,2.4309397,2.322106,4.5754776,4.945084
SH3RF1,12.553542,9.869957,9.83773,12.567696,9.662916,9.626914,8.599088,8.612053
SH3RF2,7.6964993,7.2274113,7.1318407,7.646686,6.9485307,6.9441705,7.613472,7.6409383
SH3RF3,10.8916025,10.108691,10.065407,10.86008,11.713575,11.726544,9.451229,9.412165
SH3TC1,5.47717625,5.05947915,5.33940025,5.36582395,5.19747,5.05945155,4.19309545,4.28549695
SH3TC2,5.844641,5.212125,5.407197,5.6112375,5.372169,5.418587,4.9680176,5.16302
SH3YL1,13.7332935,13.3282045,13.31141625,13.7256335,13.169114,13.1699085,12.3353985,12.324863
SHANK1,5.787074,4.70874,4.5427594,5.5393004,3.779472,3.7526257,5.1827416,5.2719517
SHANK2,5.178159,4.8773456,4.75493,5.0684214,4.9399548,4.994519,5.2755284,5.0486984
SHANK3,11.200895,10.528289,10.468406,11.184606,11.157166,11.077652,10.87074,10.813825
SHARPIN,11.01307,10.668302,10.6624565,11.02109,10.360684,10.364373,10.170871,10.148602
SHBG,7.364743667,7.094185033,7.0005397,7.260389133,6.4741186,6.1949973,6.9386231,6.8929389
SHC1,5.7970477,5.6512143,5.460701,5.6957138,5.72765325,5.6717423,5.6490945,5.631119
SHC2,8.588713,6.640328,6.6414924,8.632305,5.528156,5.6291943,5.884291,5.826778
SHC3,7.815854,6.385092,6.428373,7.809724,6.554507,6.625466,7.8283963,7.8423696
SHC4,3.049901,5.123498,5.0797796,2.4148831,5.9989333,5.9703083,4.9530706,4.669417
SHCBP1,6.01063,6.8280716,6.776428,5.8497705,7.5557685,7.5903788,7.1182723,7.0872626
SHD,9.600501,9.276722,9.29593,9.574298,8.615323,8.543228,9.336784,9.365555
SHE,3.3271086,4.022158,4.0117335,3.8820739,4.195917,4.027272,4.640143,4.569072
SHFL,10.028959,9.342604,9.314624,10.016723,10.207617,10.1651535,9.837287,9.790248
SHH,9.212868,8.184856,8.307987,9.2184725,8.265708,8.290241,6.6101646,6.677892
SHISA2,6.70664,7.0051656,7.0391884,6.77497,7.177297,7.1991434,6.8149095,6.753572
SHISA3,4.7940793,5.0636597,5.2791777,4.8053284,4.8096943,4.7642508,4.209657,4.1744514
SHISA4,6.2316398,5.99800625,6.06519025,6.10849,6.5671589,6.46767325,6.485219,6.524532
SHISA5,8.70172,8.992845,8.981478,8.675719,8.164183,8.207036,8.1590605,7.9962173
SHISA6,7.52349225,6.30880165,6.29886605,7.462173,3.60288425,3.65701515,4.4790133,4.50938745
SHISA7,7.0699387,6.754775,6.69476,6.997894,6.1172595,6.055977,6.18046,6.173708
SHISA8,7.634292,8.007405,7.9575725,7.576433,7.7818503,7.811461,7.255928,7.185605
SHISA9,6.11441705,5.9645435,6.04167185,6.0674257,5.27907705,5.31438765,5.57532665,5.57449115
SHISAL1,4.81329,4.8598604,4.5013185,4.358873,5.407322,5.40661,5.1253347,4.755929
SHISAL2A,8.196133,10.210874,10.208049,8.217277,8.949217,8.924628,10.352041,10.370249
SHISAL2B,6.5510526,6.931674,6.94008,6.6381245,6.9208274,6.930439,5.9586616,5.9572854
SHKBP1,3.5903687,3.8071182,3.6585095,3.9294755,3.8342571,3.638104,3.8038337,3.9228165
